2019-10-27,187148871.00605175
2019-11-03,168473588.10383767
2019-11-10,185486966.16960967
2019-11-17,189115080.66087833
2019-11-24,219669158.86747608
2019-12-01,258789245.06705672
2019-12-08,227241819.31387526
2019-12-15,185731583.444278
2019-12-22,198374367.53877798
2019-12-29,156515615.97585294
2020-01-05,113467218.83659449
2020-01-12,83341347.16389647
2020-01-19,191933440.0974267
2020-01-26,191461714.16788295
2020-02-02,173877329.26427436
2020-02-09,227394312.80121133
2020-02-16,149618041.88635206
2020-02-23,186599588.30320945
2020-03-01,161233377.10896894
2020-03-08,230071271.5070381
2020-03-15,138357492.81644306
2020-03-22,163011633.78197193
2020-03-29,164365288.96083212
2020-04-05,211150704.6787955
2020-04-12,139505089.2279849
2020-04-19,154946268.27776098
2020-04-26,128377313.8260919
2020-05-03,171432331.8333249
2020-05-10,118067132.96847652
2020-05-17,146001665.5197231
2020-05-24,145489772.2038966
2020-05-31,108570760.338597
2020-06-07,212756316.83694398
2020-06-14,130170455.5703184
2020-06-21,144366906.81175154
2020-06-28,154787162.74203375
2020-07-05,193785657.23338225
2020-07-12,93891761.29876678
2020-07-19,172397516.82049656
2020-07-26,112907116.00024088
2020-08-02,168650964.39929727
2020-08-09,176570377.49092713
2020-08-16,164808713.21212053
2020-08-23,137260945.621419
2020-08-30,195234196.0691739
2020-09-06,277474944.7177676
2020-09-13,180838572.77213722
2020-09-20,211544781.3108778
2020-09-27,18172923.774944905
2020-10-04,218272198.62916145
2020-10-11,177154311.51163414
2020-10-18,199722369.66967514
2020-10-25,190649231.64963284
