 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2018;Marzo;9;9/Marzo/2018;16053462.00;$ 4,132,098.86;25.74%;13,855.00;$ 11,921,363.14;viernes, 9 de marzo de 2018;10;viernes;959
2018;Marzo;10;10/Marzo/2018;7278456.00;$ 2,268,188.15;31.16%;8,588.00;$ 5,010,267.85;sábado, 10 de marzo de 2018;10;sábado;960
2018;Marzo;12;12/Marzo/2018;58016614.00;$ 25,531,336.86;44.01%;48,378.00;$ 32,485,277.14;lunes, 12 de marzo de 2018;11;lunes;961
2018;Marzo;13;13/Marzo/2018;47645487.00;$ 19,392,230.20;40.70%;39,225.00;$ 28,253,256.80;martes, 13 de marzo de 2018;11;martes;962
2018;Marzo;14;14/Marzo/2018;38954858.00;$ 15,911,826.19;40.85%;27,062.00;$ 23,043,031.81;miércoles, 14 de marzo de 2018;11;miércoles;963
2018;Marzo;15;15/Marzo/2018;45853615.00;$ 17,920,185.12;39.08%;26,641.84;$ 27,933,429.88;jueves, 15 de marzo de 2018;11;jueves;964
2018;Marzo;16;16/Marzo/2018;34831050.00;$ 15,181,414.42;43.59%;20,817.00;$ 19,649,635.58;viernes, 16 de marzo de 2018;11;viernes;965
2018;Marzo;17;17/Marzo/2018;3534998.00;$ 1,491,903.71;42.20%;3,406.00;$ 2,043,094.29;sábado, 17 de marzo de 2018;11;sábado;966
2018;Marzo;19;19/Marzo/2018;35614275.83;$ 12,696,179.77;35.65%;20,913.00;$ 22,918,096.06;lunes, 19 de marzo de 2018;12;lunes;967
2018;Marzo;20;20/Marzo/2018;41338983.12;$ 14,810,789.33;35.83%;27,684.00;$ 26,528,193.79;martes, 20 de marzo de 2018;12;martes;968
2018;Marzo;21;21/Marzo/2018;41948034.00;$ 16,763,542.58;39.96%;36,008.29;$ 25,184,491.42;miércoles, 21 de marzo de 2018;12;miércoles;969
2018;Marzo;22;22/Marzo/2018;46934774.78;$ 19,811,662.87;42.21%;36,759.00;$ 27,123,111.91;jueves, 22 de marzo de 2018;12;jueves;970
2018;Marzo;23;23/Marzo/2018;67764995.00;$ 20,413,490.22;30.12%;32,697.00;$ 47,351,504.78;viernes, 23 de marzo de 2018;12;viernes;971
2018;Marzo;24;24/Marzo/2018;5404168.00;$ 2,041,151.68;37.77%;1,541.00;$ 3,363,016.32;sábado, 24 de marzo de 2018;12;sábado;972
2018;Marzo;26;26/Marzo/2018;34860128.00;$ 14,664,824.53;42.07%;46,516.00;$ 20,195,303.47;lunes, 26 de marzo de 2018;13;lunes;973
